id,value,feed_id,created_at,lat,lon,ele
0DK25H32KXRKAT9MXGM1MPXZRW,860,676092,2017-05-15 20:58:57 UTC,,,
0DK25H64BH61F667X79Z0NYQHV,869,676092,2017-05-15 20:59:07 UTC,,,
0DK25H95XN4B38M1NJQGAT6FX0,861,676092,2017-05-15 20:59:17 UTC,,,
0DK25HC7M6XJH8BDGFMB2PKWZB,862,676092,2017-05-15 20:59:27 UTC,,,
0DK25HF98FT2AF2EQTKRTD05JA,858,676092,2017-05-15 20:59:37 UTC,,,
0DK25HJAX4K9F4MGGYQMKT571P,858,676092,2017-05-15 20:59:47 UTC,,,
0DK25HNCHP98WYBS61VXCSM53F,858,676092,2017-05-15 20:59:57 UTC,,,
0DK25HRE6W8QSP4WPW15WYJ3K7,856,676092,2017-05-15 21:00:07 UTC,,,
0DK25HVFWY8JJ32HM0MYNC2RMN,858,676092,2017-05-15 21:00:17 UTC,,,
0DK25HYHH6MBVFRRTXB764BXTJ,859,676092,2017-05-15 21:00:27 UTC,,,
0DK25J1K5GC4ZC5YYR69W58Z2F,863,676092,2017-05-15 21:00:37 UTC,,,
0DK25J4MTQQGB0S3G3V7Y19ME3,859,676092,2017-05-15 21:00:47 UTC,,,
0DK25J7PGS1PQSRY52CFFH8VHM,860,676092,2017-05-15 21:00:57 UTC,,,
0DK25JAR4KFXBM9R7H19434336,857,676092,2017-05-15 21:01:07 UTC,,,
0DK25JDSSP08QWJ237RJW5KJXM,862,676092,2017-05-15 21:01:17 UTC,,,
0DK25JGWHZNFVQJA3YFZC9348B,860,676092,2017-05-15 21:01:27 UTC,,,
0DK25JKX3REYQYTJ3PMWCKFS5Q,858,676092,2017-05-15 21:01:37 UTC,,,
0DK25JPYRGF92F98YNTTQVZG8S,864,676092,2017-05-15 21:01:47 UTC,,,
0DK25JT0E2D1PJEJXWEYSPENPA,863,676092,2017-05-15 21:01:57 UTC,,,
0DK25JX2371WJ61VK6DS3B3ZTQ,857,676092,2017-05-15 21:02:07 UTC,,,
0DK25K03QEHMECV93QV6K1QHRW,858,676092,2017-05-15 21:02:17 UTC,,,
0DK25K35CQV56MGZ5T5BY401PK,861,676092,2017-05-15 21:02:27 UTC,,,
0DK25K671FN2KTZJ90M9RGK5HE,864,676092,2017-05-15 21:02:37 UTC,,,
